"file_name","nodc_sd2","year","description","ship_name","ship_shorthand","ship_code","basin_name","sub_basin_name"
"natl.1966.BA.42N_44N.joa","A1966BAB.TXT",1966,"A section of 7 stations from 42.55 degrees North to 44.396 degrees North, 63.47 degrees West to 61.396 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There are at least 3 full depth casts. ","Baffin","BA","18BA","Atlantic","Central-Western"
"natl.1966.BA.44W_41W.joa","A1966BAC.TXT",1966,"A section of 12 stations from 38.235 degrees North to 43.338 degrees North, 44.376 degrees West to 41.748 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. All stations have full depth casts. ","Baffin","BA","18BA","Atlantic","Central-Western"
"natl.1966.BA.54N_56N.joa","A1966BAD.TXT",1966,"A section of 8 stations from 54.766 degrees North to 56.033 degrees North, 15.066 degrees East to 16.65 degrees East. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Baltyk","BA","67BA","Atlantic","Central-Eastern"
"natl.1966.BA.55N.joa","A1966BAE.TXT",1966,"A section of 9 stations along 55N, 14.916 degrees East to 19.333 degrees East. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Baltyk","BA","67BA","Atlantic","Central-Eastern"
"natl.1966.BA.55N_56N.joa","A1966BAF.TXT",1966,"A section of 6 stations from 55.033 degrees North to 56.033 degrees North, 14.033 degrees East to 15.066 degrees East. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Baltyk","BA","67BA","Atlantic",NULL
"natl.1966.BA.55N_56N_2.joa","A1966BAG.TXT",1966,"A section of 12 stations from 55.1 degrees North to 56.75 degrees North, 16.983 degrees East to 19.683 degrees East. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Baltyk","BA","67BA","Atlantic","Central-Eastern"
"natl.1966.HU.42W_37W.joa","A1966HUA.TXT",1966,"A section of 12 stations from 53.845 degrees North to 59.5 degrees North, 42.395 degrees West to 37.483 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 10 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.43W_39W.joa","A1966HUB.TXT",1966,"A section of 15 stations from 51.621 degrees North to 59.341 degrees North, 43.336 degrees West to 39.641 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 13 full depth casts. ","Hudson","HU","18HU","Atlantic",NULL
"natl.1966.HU.44N.joa","A1966HUC.TXT",1966,"A section of 12 stations along 44N, 49.3 degrees West to 45.666 degrees West. All have salinity. Most have temperature. None have oxygen, phosphate, silicate, nitrate. There are at least 3 full depth casts. ","Humboldt","HU","31HU","Atlantic","Central-Western"
"natl.1966.HU.44W.joa","A1966HUD.TXT",1966,"A section of 18 stations from 48.056 degrees North to 59.441 degrees North, along 44W. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.46N.joa","A1966HUE.TXT",1966,"A section of 7 stations along 46N, 48 degrees West to 46.166 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Humboldt","HU","31HU","Atlantic","Central-Western"
"natl.1966.HU.46W.joa","A1966HUF.TXT",1966,"A section of 6 stations from 47 degrees North to 48.583 degrees North, along 46W. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Humboldt","HU","31HU","Atlantic","Central-Western"
"natl.1966.HU.48N_56N.joa","A1966HUG.TXT",1966,"A section of 10 stations from 48.056 degrees North to 56.078 degrees North, 44.811 degrees West to 35.386 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 9 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.49W_44W.joa","A1966HUH.TXT",1966,"A section of 17 stations from 50.076 degrees North to 59.446 degrees North, 49.908 degrees West to 44.611 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 15 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.51W_45W.joa","A1966HUI.TXT",1966,"A section of 13 stations from 52.846 degrees North to 59.448 degrees North, 51.7 degrees West to 45.626 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 10 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.54N_59N.joa","A1966HUJ.TXT",1966,"A section of 11 stations from 54.866 degrees North to 59.896 degrees North, 53.621 degrees West to 46.791 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.55N_60N.joa","A1966HUK.TXT",1966,"A section of 12 stations from 55.753 degrees North to 60.295 degrees North, 57.19 degrees West to 48.225 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
